quote;rating;date;fullrev;Hotel;Region;Location;hotelid;Naslov;Lat;Long
Beautiful Palace in a beach resort;5;12.11.2016;This is definitely best hotel in Slovenian Riviera PORTOROG. Kempinski offers luxury 5-star service but this was different. Just off the sea, modern but nice room, extremely friendly service especially David who provided 2 x room service for me. All perfect and everyone tried to make me feel like a royalty. Thank you. Big recommendation.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Luxury on Slovenian coast.;5;9.11.2016;"Kempinski Palace Portorož was my second Kempinski after a stay at the High Tatras hotel in Slovakia. I jokingly say that Kempinski has ruined staying at the hotels for me - because even though I get to stay at nice hotels either for work or leisure, they rarely get better and more luxurious than Kempinski. I stayed at the Palace in Portorož for two nights on a business trip at the beginning of November 2016.The hotel itself is located on the main promenade, just a stone throw's from the Adriatic Sea. The original building was built in 1910 and reconstructed in 2008. The reconstruction added a modern annex with more rooms and an indoor swimming pool. The reconstruction was done in a very tasteful matter marrying the old with the new. I stayed in one of the \Traditional\"" rooms in the old part of the hotel. The room was very spacious and all the details were spot on, as one expects from establishment of this standing. However, the bathrooms are quite small and I prefer a big shower to small bathtub. The king-size beds were comfortable with luxurious bedding. The breakfast was definitely something to write home about - great choice and great quality of breads, fruit conserves and jams, teas, fruits and cereals. All served in a Crystal Hall that was nothing short of spectacular. However, It would be nice to have some more kinds of cheese and cold cut meats to choose from. The culinary creations that we were served for lunch and dinner were equally delicious, so I would recommend trying their restaurant as well. The hotel as a swimming pool and a spa. I did not have a chance to try the pool - as in the low seasons it opens late and closes early - so it did clash with my work schedule. Kempinski Palace Portorož is most likely the best hotel on Slovenian coast, a true gem and well worth the visit if you want to feel truly luxurious.""";Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Highs and Lows - Some Great Staff + Best Coffee in Slovenia;4;28.10.2016;Ok - I like to start on the positives:At breakfast try and find the waiter called Rok. He makes the most amazing coffee - the best in Slovenia. He looked after my wife and me so very well, we would have stayed another night because he made such an effort for us.And the F&B Manager, Pedro was superb. He knows how to manage his team and the guests.In the room the bed was first rate and the linens superb.Great views over the sea.My wife liked the gym.The location is great and you can easily get a bus into the old town - a short journey.The less good stuff:The shower randomly burns you and then freezes you. If my shower was that bad at home I would have it fixed immediately and there is no excuse for this in a major hotel.When we checked in we were told that breakfast is until 12:00. My wife and I both confirmed and reconfirmed this because it is so unusual and the receptionist kept confirming. The next day we went to breakfast at 11:00 and were told that breakfast had closed. One of the staff wanted to argue with me over why we were misinformed - all they needed to do was apologize but they wanted to correct me. That was a bummer.Overall I would stay at the Palace again. But why does the hotel have some great staff and some shockingly bad ones?;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Nicest hotel at Slo coast;4;26.10.2016;Really nice rooms, services correspond to the 5* hotel - very good, they make your bed ready in the evening, excellent breakfast can be enjoyed till noon every day, sometimes waitors confused when full restaurant, indoor spa area could be bigger and offer more space and things to enjoy;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
I rarely give 5 star ratings;5;25.10.2016;Given the price (200 Euro), the location, the ambiance and the breakfast. It is definitely one of the best hotel experiences I have encountered. My only slight disappointment is that the blonde Russian lady that checked me in on October 12 did not give me a full sea-view room as I tried to explain that I was in-process for a black status match with Discovery (which was granted the next day). It's ok....she gave me a partial seaview room in the new part of the hotel although I would have loved to have experienced the old part of the hotel/palace. Well maybe next time! The stay was topped off with a most amazing breakfast with plenty of smoked salmon! I would recommend this place to friends and family.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
One night of luxury;5;24.10.2016;During our honeymoon, my husband and I decided to treat ourselves with one night in the Kempinski hotel in Portoroz.I believe we spent around €380.00 so it was definitely not cheap, but luxury never is. However, it was worth it and here's why:The room - The room was spotless but to be honest, I would have expected no less from this hotel. Every detail was perfect, from the fluffiness of the bathrobes to the way the toilet paper was folded. The pool - In order to get a bit of movement before breakfast I spent the morning at and in the pool. I was pleasantly surprised that it was a salt water pool. Even though we were there in August the pool area was relatively empty in the morning, which was great. The relaxation area staff were great and attentative. Breakfast - I would go back there for the breakfast alone! It was absolutely magnificent and there was nothing left to be desired. Champagne and strawberries, all sorts of continental and English breakfast treats, fresh fruit ... it was perfect!Service - Everyone was super attentive and friendly. We checked in quite early which was no problem at all. We did mention that we were on our honeymoon and when we ca me back to our room in the evening someone had decorated the room and left a bottle of chilled champagne for us! Summary: It's expensive but worth it!;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Details matter;5;23.10.2016;The Kempinksi Palace is pricy, but so is luxury. All the service, the staff and the details are centered around the customer experience. I has a room in the old side, mountain view, so that I expect it to be on the cheaper side. In spite of a small window, everything else was just perfect. The location is also super.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Wonderful hotel ;5;22.10.2016;Only a 3 night stay but enough time to really appreciate this fabulous hotel. In fact probably the best hotel I've ever stayed at. The restaurant Sophia is truly beautiful, food, ambience and service amazing and NOT that expensive for the quality. Hotel is immaculate inside and out with its grand presence in the bay. Staff were so polite and friendly, the girl in the bar having anticipated our gin requirements perfectly each time . I would recommend this hotel without a hesitation.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Amazing stay in Kempinski Portoroz;5;14.10.2016;The hotel have everything you need for your stay. Romantic place for holiday. Facilities for business. Top class food. Top location. Excellent service. It is an Adriatic pearl at the Slovenian coast line near to Piran. People are open and friendly. Always there when you need help at the hotel;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Very clean, nice hotel;5;10.10.2016;Great hotel with perfect location direct in the centre of town. Room is spacious and extremelly clean and very well maintenanced. Thanks a lot Marketa manager for all helps and assistance what made our stay really great!;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Perfect Location;5;7.10.2016;Beautiful hotel with a great staff. Gabriella was so very helpful for anything we asked. She helped us call another hotel where we left some shoes. She gave us directions to the next town and things to do while we were there. Ate at the pool restaurant and also in the bar/lounge. Great breakfast every morning included in our price. We were upgraded to 2/3's of the Presidential Suite. Great room with a beautiful balcony and an absolute perfect view of the town. Enjoyed our stay here so much. Will definitely be back.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
A 5 star hotel with excellent service in an ideal location;5;5.10.2016;The hotel lives up to the Kempinski 5 star experience and is more a business hotel than typical holiday hotel.. The staff were very friendly and helpful. It is expensive but being on the sea front there is plenty of choice outside. Being a seaside resort the front of the hotel can be noisy due to music at the beach and the bars/restaurants. We had a room at the back which is quiet but lacks views. Our accomodation, the spa, pool and one restaurant are in a new extension but that was just fine. The spa and pool were excellent and the service was extremely good.We went in September so it was quiet in the week but Portoroz is busy at the weekend but it is a very clean place and superior to British seaside towns. Pororoz is small.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Stunning wedding venue;5;30.09.2016;"My husband and I got married in Kempinski Palace Portorož on 10 September 2016.All chosen vendors, family & friends contributed to making our day truly remarkable. The venue itself, i.e. the grand Crystal Hall with its terrace, was simply grandiose and strikingly beautiful - huge crystal chandeliers, antique golden decor, all in all magnificent. The food was delicious, the cake was exactly as we wished for - compliments to the Chef and his team!Upon returning to our suite after the wedding - spacious duplex with a terrace on each floor, a king size bed and a jacuzzi - we were greeted with a bottle of champagne for a perfect ending of the day and we started the next day with a rich in-room breakfast, which was served on the terrace overlooking the Adriatic sea; perfect start of married life.As with most weddings, there were some shortcomings - e.g. the terrace on top of the modern part, where the ceremony was held, was quite unfurbished and high heels were making holes in the wooden floor, the waiters were not as experienced as one would expect and there were some mix-ups - however, upon highlighting these issues we were complimented with a gift voucher. Good customer service!We would definitely recommend Kempinski Palace Portorož - for a wedding or simply for staying in this hotel when visiting the Slovenian Coast. As we did before the wedding, we will certainly visit this hotel in the future as well, always reminiscing of our special day!Photo credit: Ana Gregoriè Photography";Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Old world elegance;4;27.09.2016;We had a sea view room with an enormous bath. I would not pay up for the water view as the buildings across the street from the hotel were quite unattractive. The room was well furnished and comfortable. The breakfast on the large terrace was wonderful. The servers were attentive and pleasant and the setting lovely. There was a nice buffet plus an omelet station. Also, sitting out on the balcony for a night cap was very pleasant.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Awesome hotel with friendly staff and comfortable facilities;5;20.09.2016;I stayed at this hotel for one night and it must be one of my most satisfactory stays among my travel experiences. My guest room was very spacious and clean with a balcony facing the sea. The staff was also really friendly and considerate that they positively responded to my requests and resolved my problem. For instance, they exceptionally led me to their roof top terrace so that I could enjoy the whole sea view from top right after I asked their concierge in the early morning whether there's any high floor terrace at this hotel for me to capture the sea view, even though their roof top terrace was still closed at that time. Such an outstanding service does give me unforgettable impression and deserve high recommendation for stays at this hotel.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
5 STAR SERVICE with a Smile;5;13.09.2016;Very kind and caring staff! A truly 5 star experience. Whenever we come here we have best time, we relax and enjoy every moment :-)Breakfast till noon with so many options your heart can only desire. The surroundings and terrace is beautiful and they have a great pool and great and a very clean spa.One of the best in the world:-)! We just keep coming back again and again...;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Poolside service;5;7.09.2016;Our lovely young lady called Agi, not only took a lot of flack from people who she should have clearly should not have been exposed to. Shame on the arrogant peeps. Big up Agi. This company take note, she's a gem, and a credit to your business.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Stunning Hotel with outstanding service;5;6.09.2016;The rooms and the hotel itself are beautiful and very clean, but the highlight was the service which is very attentive and helpful. It was my mother-in-law's birthday and we had a beautiful suprise breakfast with champagne and a cake. From the concierge to the waiters in their amazing restaurant Sophia everyone exceeded at making out stay absolutely fabulous. It won't be the last visit for us. I can only suggest anyone looking for a lovely week, where you can relax and enjoy delicious food to come to this exceptional Hotel.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Not Quite a 5 Star Property could learn from other hotels ;2;5.09.2016;Stayed at this location for a holiday with friends. The old building is as beautiful as the pictures show. Warmly greeted and checked in quickly. I had a room in the old part of the building on the 5th. Something you don't expect when you come out of the elevator is writing by people on the walls. I then went into my room. The room was small and bathroom was compact. To have a shower you needed to stand in the bath, which is something I wouldn't expect in a 5 star hotel. The bed was comfortable. The window was small to let in natural light but guess this was the restriction of old building. A surprising point to note is the hotel will not let you have an iron, they have to iron for you at extortionate prices, which is really disappointing and not something I would expect for a hotel where you already paid out to try and rip you off. Finally the breakfast that I read so many good reviews on, failed to hit the spot for me. Don't get me wrong it was good but nothing that will amaze you, if you have stayed at Sofitels or Intercontinental Hotels.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Usual high Kempinski standards;5;5.09.2016;The staff excelled themselves, except for the chap who produced my car from the car park, pocketed the tip (the parking is paid for) and left the cases on the ground.Back to the good stuff. Excellent rooms (we were at the front of the palace in a deluxe) and barely heard any noise from the street outside. We were on the 1st floor and still got a good view of the sea etc, but I would suggest that despite having a shallow balcony, there is enough room for two slim bistro type chairs and a small table for a sundowner. Whilst not having an iron in the room is not fatal, you do have to plan your laundry schedule, as you can't do a last minute iron.Breakfast was delicious and that should not be a surprise in a Kempinski.In answer to criticism listed elsewhere, kettles are supplied upon request to make tea in the room, note they only have loose tea (supermarket is 5mins walk, exit left). They do supply water jugs and beakers for the pool area (upon request), there's a water fountain near the Jacuzzi. I would say they can't pack in any more sunbeds and they have a policy to prevent you leaving it empty for longer than 30 mins.The pool is much better than a chlorinated one(it's salt water) and heated, but can get quite busy at peak times.My suggestions are:1. They should alternate the sunbeds smoking zones (every 2 days) as the smoking area is much larger than the non smoking area.2. They should explore the benefits of adults only swimming times, eg first and last 2 hours.It's very family friendly, we booked two rooms (one for the teenager) but because both were deluxe they could not next door to each other. Next time, I would book one deluxe and one superior as they are adjacent. Connecting rooms also exist in the superior category.if you want to go the 'beach' it's a 20E surcharge (it's not theirs hence the charge), but having examined the beach it's just a strip of land (with probably imported sand) with closely packed sunbeds adjacent to the bay. It did not appeal. You can swim in the bay as there are access steps frequently inserted in the sea wall.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
It shouldn't get away with it;2;30.08.2016;It's easy to see why the Kempinski is the number one rated hotel in portoroz as it is a lovely hotel. I had a superior room in the new part of the hotel which was decorated well, with a very comfy queen size bed and a balcony. The hotel is well designed and the gardens and pool area are very nice. There are plenty of sun loungers and the only quibble about the pool is that it is sea water. I was there with friends but if you were looking for a romantic break then it would be a good choice.However I can't give the hotel a score of 4 which is what I'd ordinarily give it because of their application of a very silly rule that you can't iron in your room and have to use their laundry service.This is just a rip off. Starting at €8 euros a shirt and rising it is a rip off. I've stayed in hundreds of hotels all over the world and never before been told I can't get an iron. Just as I'll always score a hotel down if they don't have free wifi I will do the same here as there is no need to profit from shirts and other items of clothing getting creased while packed in luggage. I don't mind paying top dollar to stay in a hotel but this is naked profiteering so be warned to ensure you don't need anything ironing or else your bill will rocket;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Great summer escape;5;29.08.2016;We spent 4 nights at this holiday in the middle of the busy holiday season. We got two rooms for our family of five. The hotel turned out to be a great choice. Many features made our holiday one to remember:- breakfast open until 1200 ( fantastic for grown ups and kids)- salt water swimming pool ( our kids have some skin problems)- indoor pool ( helped us on a rainy day)- general courtesy of the hotel staff ( good to have service without the blackmail of huge tipping)- room ambience and amenities- locationMy wife and i had a dinner for two at the upscale restaurant and we found the food very good and the service extremely pleasant. We sincerely recommend this hotel with a note that ,at least in the period we staid, it does not come at a cheap price. The only note for improvement is that traveling the world i stay at many Kempisky hotels. In the Portoroz one only saw a Lady in Red only once when she was engaged in a very lenghty phone call and then disappeared in the back. Unusual indeed. ;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Brilliant hotel;5;29.08.2016;This really is a palace. It has magnificent rooms, facilities and service. We were in the old wing with a huge room overlooking the sea with lovely gardens underneath. The bathroom was huge. There is a modern wing to the palace - we did not see the rooms there. However friends in a room near that wing complained of noise fro the clubs opposite till teh early hours of the morning. We were further away in the old wing and were not disturbedThe balcony gave spectacular views of sunsets and was very romanticThe breakfast was in a huge room with a superb buffet - it was difficult to decide what to try. I always started with the ginger shot that set you up for the day. There was lots of fruit, cooked dishes, eggs, lots of different breads and really interesting jams and honeysThe service was impeccable. Everyone sat on the verandah if possible giving a lovely view of the garden and the seaThe hotel had an interesting art shop and other rooms worth exploringThere is a great sea water pool half indoors half outdoors. The spa is goodThere are 2 restaurants only one of which we tried and was very goodThe service was great the concierge could not do enough for us - booking restaurants, giving advice and sharing jokesA wonderful, wonderful hotel;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Very nice hotel, probably nicest in the area.;5;24.08.2016;This is a very nice hotel. It was the Summer Palace for the Emperor of the Astro-Hungarian Empire. Of course, the insides are completely modern. Very good restaurants. Breakfast buffet is good. Our room was very nice, but we got an upgrade. Staff was excellent. Concierge gave us really good things to do in the area. Nice pool - big area. Across is more of a Bay/Habor then the Ocean, but it looked really nice and clean. the immediate area is either residential or this touristy, marina type area across the street - great if you have kids with you. Lots of good restaurants nearby. Plenty of old and fascinating towns to visit nearby too.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Great place;5;23.08.2016;We have stayed with our family one week in this place, was a very nice. Only comment was that there where to less sunbeds @ the pool for the people. Next to that there was one formal Restaurant that was alomst used by guest, they should having diner there much more attractive;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
This is more of a 3 1/2 star review.. The hotel was beautiful, were were upgraded....;4;19.08.2016;... from a suite in the modern wing, to a large large suite in the Old Part of the hotel. It was huge, with 2 terraces.. Loved it. The check in was easy, and we were shown to our room. I was kinda speechless, because of the size.. And well appointed...However, the service from housekeeping, just has me so down on this place. Now we had 3 issues. One was that turn down service was inconsistent at best. One day we came home from dinner, and the place was rather filthy, still... This after a night of use and day for them to clean it, they did not. BUT they took the tip I left... We had the manager of housekeeping and the hotel manager come up to our room to show them, she even left piss in the toilet, with toilet paper. Was it hers', I usually flush. lolWe also were not left a single new towel, as we clearly put dirty ones in the bath tub. to be replaced..The last night left a really bad taste in my mouth about this place Horrible housekeeping..;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
A beautiful, historical building with amazing service;5;17.08.2016;Stayed two nights in the old, historical building of the hotel, in a spacious sea view room with a huge balcony at the 4th floor. Choosing a high (4th or 5th) floor room is a good decision as the street and the beach in front of the hotel can be very noisy during the nights. The rooms are beautiful, the breakfast is impressive and delicious. The service is at the top level, from the arrival till the last minute of the stay. The pool area is very nice but could be bigger as it's quite crowded during the high season. One of the best and fastest hotel wifi we ever had in a hotel.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Good be perfect but not quite;5;15.08.2016;Difficult to grade this hotel, in so many ways it is excellent but one or two aspects disappoint.The reception is very good and welcoming the public rooms are beautifully kept and all staff were super helpful and friendlyThe rooms are large ,we stayed in the new wing and the room was well equipped and the bed very comfortable and as we chose park views suffered no night time noiseThe breakfast is about as good as you can get with lovely fruit choices , breads are good as is the smoked salmon and the cooked foodsThe pool area is very attractive if somewhat busy in high season but if you get there at a sensible time you will find available bedsThe pool staff especially Oton are all excellent and try to help everyoneThe evening bar is lovely and very calmNow the bad things There is no kettle or coffee machine in the room and sometimes you just want to make yourself a drink in the room not call room serviceThe drinks and food in the hotel are super expensive compared to local prices, you cannot even get a jug of cold water for free round the poolThere are no special touches such as fruit round the pool, or night time chocolate with the turn down service these things are common in other 5 star hotelsAlso both restaurants serve very elaborate and expensive food I feel they would be better if one of the restaurants was a fresh grill type restaurant specialising in fish and steaks again this is often found in 5 star hotels around the worldWe have thoroughly enjoyed our stay and the hotel is a true oasis in a very busy resort The resort is fun and a little bit of a throw back to resorts of old in Italy and FranceWith a few changes this hotel would be perfect. Final thought wi fi is superb;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
The Rose of Istria;5;15.08.2016;Although we spent only 2 days here with my husband the experience will be unforgettable.From the moment we arrived until the very end of our stay we felt ourselves very special.First of all, thanks for the Concierge for the warmest welcome i have ever received.Our room was on the 3rd floor of the Modern Wing, it was very comfy for a couple (however duvet sharing is not our preference) and decorated with the rose motif tastefully. The architecture of the whole hotel is a wow. Congratulations for the interior designers too.I do not want to repeat the earlier reviews, i agree that breakfast is superb and that the spa is fantastic.Let me just have a few other comments / recommendations.During check-in the hotel charges your card with the amount of the whole stay plus some more as deposit. We mentioned to the receptionist lady that we would like to provide it in cash, but she pretended that she did not understand. It is understandable that it is a policy but let the guest decide which way they wish to do this. When we asked how long the money will be blocked, they said few days which is actually 2 weeks. So be careful with that.The other thing which they may consider to improve is the pool bar service. It opens at around 10.30-11.00 which is quite late (at least for us) i believe.All in all, this is a great hotel in a lovely location and we will surely return soon.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Wonderful Palace, wonderful team;5;12.08.2016;I came 3 days to celebrate my birthday with my boyfriend and i have booked a Superior room with sea view. When we arrived they offered us an up grade : a wonderful suite with the sea view. At the restaurant, the night of my birthday, we had a very good diner and they offered me a chocolate birthday cake. What a nice present.All the staff is very nice and helpfull.The breakfast is delicious and so much choice. Thanks a lot to Rock the nice smiling waiter we had for our diner and every day at the breakfast.I forgot my shoes and i propose the hotel to charge my credit card to send it me back but they did it for free.We have travelled a lot, in many hotels, and many 5 stars hotel. This one is not maybe the most beautiful i ever been for the design, but the staff is definitly the best in the world. We really appreciate all the delicate attention, and the suite with this beautiful view.Thanks a lot to all the team. you made our trip unforgetable and my birhday very special. We will come back to visit you again.Daniel and Stephanie;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Great experience;5;9.08.2016;Full breakfast with a wide choice of food. Smoked salmon, freshly squeezed orange juice, sparkling wine, a good choice of cheeses, fresh egg omelette,... My husband and I stayed only one night because we just stopped on the way home. Extended breakfast was just what we needed, because we arrived late. So we could sleep longer. We had a room in the new part, so we were not impressed bye the room. I would prefer a room in the old part, but it was full. We will return, next time for more days.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Luxurious gem;5;8.08.2016;Truly luxurious surroundings in a bit of a plastic tourist trap village. Brilliant fusion of old and new, this gem of a hotel offers the best service I saw in Slovenia. All the staff so helpful and accommodating, really well trained and proud to go there best for you. Food excellent in the restaurant but even the breakfasts were delicious and gorgeous to eat in grand ballroom or beautif terrace.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Perfect;5;6.08.2016;"I stayed at Kempinski Palace between 18 July - 28 July 2016. We had a standard room.Reception:They were nice, polite and helpful. They spoke good English.Room:The room was large enough. The beds were comfortable. It was sufficient with wardrobes.Bathroom:The bathroom only had a bathtub.I prefere a stand alone shower. The hair dryer was not working very good. Hint bring your own.Poolarea:The area was large. There was enough sunbeds and they were comfortable. Sun towels were plentiful. As a non-smoker I was happy that one part of the area was for non-smokers only. The supervisor Oton was very helpful and friendly. He was also very observant when something needed attention.Wifi:Wifi was excellent. We could stream from Netflix. Cleaning:The cleaning of the public areas (ie toilettes) was not acceptable. Some guests do not flush... I do not want to act as a \flushing lady\"".All in all, we had a wonderful stay and we will come back.""";Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
The best hotel ever?;5;4.08.2016;I'm not sure where to start but this has to be one of the finest hotels anywhere. Having spent many holidays in Monaco I never thought I would find a hotel as good as this, especially in Slovenia!One of the most enjoyable and comfortable stays that you could possibly imagine. Incredible quality and luxury with the most amazing staff you could ever wish to meet anywhere. Super restaurants and great buffet breakfast. Every hotel can learn from staying here. Thanks a million and see you next year.;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Amazing stay even for non-smokers;5;3.08.2016;"We stayed 10 days at Kempinski and this is my hionest review. I will divide it into separate sections for easier reading.ArrivalWe drove by car and was immediately greated by Nace who took care of our luggage whilst we checked in. Very nice first impression.ReceptionDuring the stay we had several contacts with the reception. The reception was very friendly and always took the time to listen to what's on our mind. I would like to in particular point out Natalias great work; she always made sure that our comments and questions were properly followed up instead of just being passive. Very good and an example how the reception should work.RoomsWe had a superior room facing the mountains. The room was large enough and contained all necessary items, including a refrigerator. A nice room, all in all.CleaningThe cleaning was usually properly done. There were a constant problem with the towels however. The \package\"" contained seven different towels but it seldom worked to get them back; sometimes we gor eight, sometimes five and anything in between. It was corrected after calling the reception, but it is strange that it could not work (which the reception agreed about).PoolareaThe poolarea contains of two parts, one facing Lucija and the other facing Piran. One of the parts are for non-smokers which is great. The poolarea is supervised by Oton, who takes great pride in making the poolarea clean and inviting. He seems to consider the area as a place for his guests and his task as \""host\"" is to ensure that everyone is having a great time. He is splendid, always cleaning, assisting with umbrellas or chatting with the guests. Oton is a great asset to Kempinski. It should be mentioned that when Oton is not there, the area is not well supervised and the atmosphere is different. InternetThe internet is very fast and reliable. I value that a lot.RestaurantsWe used one of the restaurants (not \""Sophia\"" but the other), Nothing to complain about regarding the food, but it is very expensive - more than double or even triple the cost for a lunch at the restaurants across the street (10 meters away from the hotel).BreakfastThe breakfast options are great; you can choose from a lot of different items and there is no need to go hungry. You can choose at least semi healthy choices as well, which I value since I train a lot. However, it should be pointed out that the staff working at breakfast is far less polite than the staff in general. In fact, breakfast staffs behaviour(not the chef!) could be improved quite a bit. For instance do they remove your plate even when you are not done and are very stressed even when there is few guests (we ate breakfast at 0700 and there were approx six-seven guests present). - The breakfast area is divided into a smokers' and non-smokers' department.Washing serviceHotel offers a washing service. The prices are however almost ridiculus and I doubt that anyone would use the service (at least nor for common clothes like a pair of trousers).ACThe rooms have manually adjustable AC. However, please bear in mind that AC degrees may differ from what you may be used to. We usually have 22 degrees in order to be able to sleep, but at Kempinski we had 17 degrees. Do not hesitate to ask the reception for a lower range of degrees (20-24 degrees is standard but can be lowered if asked in reception).GeneralKempinski is a five star hotel and well worth it. The ambience is great and there is a lot of attention to details. To attract non-smokers, it is important to maintain non-smoker areas. I would recommend Kempinski and will consider to return.""";Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
Excellent Hotel;5;1.08.2016;Everything was nice about this hotel--the rooms, the location, the service. I wish we could have stayed longer, but we were on a whirlwind tour of this part of the world. Although very touristy and crowded in the summer, the town is very nice, and you can take taxis into neighboring more relaxing villages;Kempinski Palace Portoroz;Slovenija;Seaside;SlovenijaMorjeKempinskiPalacePortoroz;Obala 45, Portoroz 6320, Slovenia;45.5147033;13.5919325
